user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
oguzmetu,-,-,-,1,C++,-,47,-,0,-,-,-1,0,-,-,10064,-,-,-,-
ojos,0,1.51,0.01,3,Python,2.7,23,8,0,0,0,0,0,0,0,894,-,-,48028,1.50
olalia,0,0.72,0.00,8,C++,-,46,88,0,0,0,0,0,0,1,42768,-,-,11432,0.72
olekluka,0,0.03,0.00,5,C++,-,33,16,0,0,0,0,1,0,0,7648,-,-,3384,0.02
omalonsom,0,0.04,0.00,14,Java,-,87,0,0,0,0,1,5,72,0,2891,-,java.io.FileNotFoundException:,23604,0.03
ondrah,-,-,-,4,C++,-,72,-,1,-,-,-1,1,-,-,-,not declared,-,-,-
oonishi,0,1.38,0.01,6,Python,2.7,24,0,0,0,0,0,1,8,0,877,-,-,72400,1.36
orchidmajumder,-,-,-,88,C++,-,73,-,0,-,-,-1,1,-,-,8936,-,-,-,-
oruas,0,0.00,0.00,78,C++,-,76,24,0,0,0,0,2,0,0,10112,-,-,2580,0.00
osk,-,-,-,8,C++,-,37,-,0,-,-,-1,0,-,-,26408,-,-,-,-
otiliastr,-,-,-,48,C++,-,40,-,0,-,-,-1,0,-,-,11312,-,-,-,-
outside,0,0.43,0.01,108,Java,-,510,0,0,0,0,0,4,72,0,1598,-,-,61960,0.41
owrji,0,0.18,0.01,13,Java,-,59,0,0,0,0,0,5,80,0,1940,-,-,58808,0.16
pa1,0,0.05,0.00,4,C,-,42,0,0,0,0,0,0,0,0,7248,-,-,2360,0.02
pabloh,-,-,-,93,C++,-,62,-,1,-,-,-1,9,-,-,-,Unknown error,-,-,-
parenti,-,-,-,5,C++,-,51,-,0,-,-,-1,1,-,-,9496,-,-,-,-
pashkal,0,0.20,0.00,13,Java,-,64,0,0,0,0,0,0,80,0,2664,-,-,59384,0.20
pasky,0,0.01,0.00,124,C++,-,113,48,0,0,0,0,0,0,0,24144,-,-,2612,0.00
passerbyb,0,0.04,0.00,7,C++,-,72,24,0,0,0,0,0,0,0,8856,-,-,3676,0.03
