user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
calfcamel7,0.00,0.00,0,0,C++,-,58,0,0,0,0,0,0,0,0,2356,0.00
Svyat,0.00,0.00,7,0,C++,-,102,0,0,0,0,0,2,0,0,2528,0.00
araver,0.01,0.04,15,0,java,-,84,0,1,0,0,1,2,64,0,21868,0.03
jrying,0.00,0.00,2,0,Python,2.7,36,0,2,0,0,2,7,0,0,6112,0.00
saurabhprakash,0.00,0.00,5,0,C++,-,45,0,139,0,0,139,0,0,0,2300,0.00
sulan,0.00,0.01,4,0,Python,3.5,37,0,2,0,0,2,0,0,0,7160,0.01
suigingin,0.02,0.07,27,0,java,-,200,0,0,0,0,0,4,64,0,24856,0.04
YvesChan,0.00,0.00,11,0,C++,-,75,0,0,0,0,0,0,816,0,2596,0.00
MBorodin,0.00,0.00,4,0,C++,-,51,0,0,0,0,0,0,0,0,2500,0.00
Cloudssdut,0.00,0.00,12,0,C++,-,65,0,0,0,0,0,1,8,0,2472,0.00
robertv,-,-,3,-,C++,-,52,-,-1,-,-,-1,0,-,-,-,-
xylo,0.00,0.00,6,0,C,-,69,0,0,0,0,0,0,0,0,2264,0.00
tenderestfawn,-,-,17,-,C++,-,46,-,-1,-,-,-1,0,-,-,-,-
vipulsharma,0.00,0.00,2,0,C++,-,80,0,139,0,0,139,0,0,0,2260,0.00
wwiilliiuuss,-,-,9,-,C++,-,51,-,-1,-,-,-1,0,-,-,-,-
Momoofhappiness,0.00,0.00,0,0,C++,-,64,0,0,0,0,0,0,0,0,2632,0.00
Marcospqf,0.00,0.00,0,0,C++,-,82,0,0,0,0,0,0,0,0,2652,0.00
maiorpe,0.00,0.00,22,0,C++,-,68,0,0,0,0,0,3,0,0,2484,0.00
kirishev,0.00,0.00,6,0,C++,-,57,0,0,0,0,0,0,0,0,2568,0.00
ericcheng,0.00,0.08,9,0,java,-,56,0,0,0,0,0,2,64,0,25084,0.08
eomole,-,-,11,-,java,-,69,-,-1,-,-,-1,4,-,-,-,-
AlexTolstov,0.00,0.09,16,0,java,-,98,0,0,0,0,0,1,64,0,25428,0.08
eungjun,-,-,14,-,java,-,72,-,0,-,-,0,10,-,-,-,-
drathier,0.00,0.00,13,0,Python,2.7,27,0,0,0,0,0,8,0,0,6564,0.00
Toshad,0.00,0.00,1,0,C++,-,67,0,0,0,0,0,6,0,0,2648,0.00
gulshan1994,0.00,0.00,2,0,C++,-,50,0,0,0,0,0,8,0,0,2612,0.00
silsaj,0.00,0.00,6,0,C++,-,49,0,0,0,0,0,7,0,0,2584,0.00
